병원명,소재지,평가등급,종별,lat,lon
명성한의원,"강원특별자치도 원주시 원문로 106, (단계동)",일반병원,한의원,37.3570221117916,127.935554140567
모두올한의원,"강원특별자치도 원주시 혁신로 35, 205호 (반곡동)",일반병원,한의원,37.3243231665799,127.978146252596
모아한의원,"강원특별자치도 원주시 원일로 63, (원동)",일반병원,한의원,37.3475387817746,127.951445256163
몸편안한의원,"강원특별자치도 원주시 치악로 1786, (개운동)",일반병원,한의원,37.3418353072137,127.955813515776
무실한의원,"강원특별자치도 원주시 능라동길 59, 111~113, 206~207호 (무실동)",일반병원,한의원,37.3422,127.9201
문막동화한의원,"강원특별자치도 원주시 문막읍 왕건로 81, 동화빌딩 302호",일반병원,한의원,37.3267305773774,127.829096395235
문막애치과의원,"강원특별자치도 원주시 문막읍 왕건로 81, 동화빌딩 201호",일반병원,치과의원,37.3267305773774,127.829096395235
문막요양병원,"강원특별자치도 원주시 문막읍 문막시장1길 16-0,",일반병원,요양병원,37.3078557797654,127.816972763359
문막읍보건지소,"강원특별자치도 원주시 문막읍 건등로 11, (문막읍)",일반병원,보건지소,37.3127714897182,127.817002268877
문막한의원,"강원특별자치도 원주시 문막읍 문막시장1길 9, 9",일반병원,한의원,37.3422,127.9201
미드림의원,"강원특별자치도 원주시 서원대로 165, 3층 (단계동, 대호빌딩)",⭐ 1등급 우수병원,의원,37.3444745902274,127.929939561257
미래산부인과의원,"강원특별자치도 원주시 단구로 183, (명륜동)",⭐ 1등급 우수병원,의원,37.3360801706337,127.948752671981
미소마취통증의학과의원,"강원특별자치도 원주시 모란1길 69, 201호 (우산동)",⭐ 1등급 우수병원,의원,37.3615768576997,127.932972171315
미소치과의원,"강원특별자치도 원주시 시청로 84, 3층 (무실동)",일반병원,치과의원,37.3363821562604,127.928072254541
미올한의원원주점,"강원특별자치도 원주시 능라동길 63, 305,505호 (무실동)",일반병원,한의원,37.3422,127.9201
미즈산부인과의원,"강원특별자치도 원주시 이화6길 1, (단계동)",⭐ 1등급 우수병원,의원,37.3435336393856,127.932256741648
민영의원,"강원특별자치도 원주시 북원로 2695, (가현동)",⭐ 1등급 우수병원,의원,37.384229164661,127.947210221609
민제한의원,"강원특별자치도 원주시 서원대로 402, (단구동)",일반병원,한의원,37.3304700659504,127.949352556031
바른길치과의원,"강원특별자치도 원주시 북원로 2489, (우산동)",일반병원,치과의원,37.3666897479817,127.940229204304
바른몸한방병원,"강원특별자치도 원주시 시청로 528-0,  3~5층 (관설동)",일반병원,한방병원,37.3151852821503,127.966033197054
바른요양병원,"강원특별자치도 원주시 판부면 치악로 1139, (판부면)",일반병원,요양병원,37.2931477649378,127.990881835423
바른한의원,"강원특별자치도 원주시 천사로 210, 1~4층 (일산동)",일반병원,한의원,37.3422,127.9201
박규래정형외과의원,"강원특별자치도 원주시 무실로 26, (일산동)",⭐ 1등급 우수병원,의원,37.3478085459602,127.948752285272
박동훈내과의원,"강원특별자치도 원주시 봉화로 22, 6층 (단계동, 더파크타워)",⭐ 1등급 우수병원,의원,37.3462449926799,127.928765814001
박현민성형외과의원,"강원특별자치도 원주시 서원대로 156, 5층 (단계동)",일반병원,의원,37.3440991612116,127.928916785448
백두한의원,"강원특별자치도 원주시 원일로 151, 2층 (일산동)",일반병원,한의원,37.3521032050996,127.946641729773
백록담한의원,"강원특별자치도 원주시 개봉교길 9, (개운동)",일반병원,한의원,37.343432278215,127.955975272052
백세한의원,"강원특별자치도 원주시 현충로58번길 28, 2층 (태장동)",일반병원,한의원,37.3613055070531,127.957400378552
백태준성형외과의원,"강원특별자치도 원주시 감영길 11, (일산동)",일반병원,의원,37.3474401846047,127.950081159665
백피부과의원,"강원특별자치도 원주시 원일로115번길 1, (일산동)",일반병원,의원,37.3497931974077,127.948344443756
밴스의원,"강원특별자치도 원주시 서원대로 416, 2층 (단구동)",일반병원,의원,37.329512016004,127.950645147116
베스트치과의원,"강원특별자치도 원주시 단구로 398, 가온프라자 2층 201호 (단구동)",일반병원,치과의원,37.321447947226,127.955302755257
보리한의원,"강원특별자치도 원주시 단구로 351, 2층 (단구동)",일반병원,한의원,37.324572654885,127.958572857839
본베스트병원,"강원특별자치도 원주시 능라동길 51-0,  6~7층 (무실동)",⭐ 1등급 우수병원,병원,37.3422,127.9201
본치과의원,"강원특별자치도 원주시 일산로 61, 4층 (원동)",일반병원,치과의원,37.3465844585309,127.950076132201
부론면보건지소,"강원특별자치도 원주시 부론면 법천시장길 59, (부론면)",일반병원,보건지소,37.2078310011559,127.750180546646
부론한의원,"강원특별자치도 원주시 부론면 법천시장길 55-2, (부론면)",일반병원,한의원,37.2079756885059,127.750254525398
부부소아청소년과의원,"강원특별자치도 원주시 문막읍 왕건로 48, (문막읍)",⭐ 1등급 우수병원,의원,37.3238569562122,127.829243193209
부부치과의원,"강원특별자치도 원주시 중앙로 105, 5,6층 (중앙동)",일반병원,치과의원,37.3422,127.9201
북원치과의원,"강원특별자치도 원주시 북원로 2698-1, (태장동)",일반병원,치과의원,37.3844055355376,127.947789080375
블리비의원,"강원특별자치도 원주시 서원대로 396, 스타월드 4층 409호, 410호, 411호, 415호 (단구동)",⭐ 1등급 우수병원,의원,37.3307257685245,127.948903433255
비두보건진료소,"강원특별자치도 원주시 문막읍 귀문로 956, 956",일반병원,보건진료소,37.3422,127.9201
사랑손한의원,"강원특별자치도 원주시 무실본동길 54, 1층 (무실동)",일반병원,한의원,37.3372934034528,127.932806550614
사상참경희한의원,"강원특별자치도 원주시 영랑길 2, 401호 (행구동)",일반병원,한의원,37.3414201707844,127.971272600517
사제보건진료소,"강원특별자치도 원주시 흥업면 사제로 424, 424",일반병원,보건진료소,37.3422,127.9201
산현보건진료소,"강원특별자치도 원주시 호저면 칠봉로 380, (호저면)",일반병원,보건진료소,37.4280757398849,127.893305001802
삼대한의원,"강원특별자치도 원주시 원문로 168, 1층 (단계동)",일반병원,한의원,37.3562824058856,127.93127114926
삼성서울 치과교정과 치과의원,"강원특별자치도 원주시 능라동길 51, 3층 317, 318호 (무실동)",일반병원,치과의원,37.3348395414332,127.930150473737
삼성서울리프앤톡스의원,"강원특별자치도 원주시 혁신로 35, 3층 301~302호 (반곡동)",일반병원,의원,37.3243231665799,127.978146252596
삼성서울치과의원,"강원특별자치도 원주시 능라동길 51, 3층 301호 (무실동)",일반병원,치과의원,37.3348395414332,127.930150473737
상아치과의원,"강원특별자치도 원주시 서원대로 402, 3층 (단구동, 대신프라자)",일반병원,치과의원,37.3304700659504,127.949352556031
상지대학교부속 한방병원,"강원특별자치도 원주시 상지대길 80-0,  (우산동)",일반병원,한방병원,37.3704896908214,127.934248932282
상지명인한의원,"강원특별자치도 원주시 무실로 64, (일산동)",일반병원,한의원,37.346151724555,127.946511478705
새마음병원,"강원특별자치도 원주시 문막읍 귀문로 1217,",일반병원,정신병원,37.265111910769,127.825936703671
생명수한의원,"강원특별자치도 원주시 원일로 135, 2층 (일산동)",일반병원,한의원,37.3509963585309,127.947527337679
샤인치과의원,"강원특별자치도 원주시 봉화로 27, (단계동)",일반병원,치과의원,37.3469533585729,127.928260594851
